School_Name,District_Name,City,State,State Abbreviation,Type
Leilehua High School,Hawaii Department of Education,Wahiawa,Hawaii,HI,Public
Leinkauf Elementary School,Mobile County,Mobile,Alabama,AL,Public
Leipsic Elementary School,Leipsic Local,Leipsic,Ohio,OH,Public
Leipsic High School,Leipsic Local,Leipsic,Ohio,OH,Public
Leisure Acre School,Lycoming,Allenwood,Pennsylvania,PA,Private
LEISURE CITY K-8 CENTER,DADE,HOMESTEAD,Florida,FL,Public
LEISURE PARK ES,BROKEN ARROW,Broken Arrow,Oklahoma,OK,Public
Leitchfield Christian Academy,Grayson,Leitchfield,Kentucky,KY,Private
Leith Walk Elementary,Baltimore City Public Schools,Baltimore,Maryland,MD,Public
Leland & Gray UHSD #34,Leland and Gray UHSD #34,Townshend,Vermont,VT,Public
LELAND E EDGE MIDDLE,COMMUNITY ISD,NEVADA,Texas,TX,Public
Leland Elem School,City of Chicago SD 299,Chicago,Illinois,IL,Public
Leland Elem School,Leland CUSD 1,Leland,Illinois,IL,Public
LELAND ELEMENTARY ACCERATED SCHOOL,LELAND SCHOOL DIST,LELAND,Mississippi,MS,Public
Leland High,San Jose Unified,San Jose,California,CA,Public
Leland High School,Leland CUSD 1,Leland,Illinois,IL,Public
LELAND HIGH SCHOOL,LELAND SCHOOL DIST,LELAND,Mississippi,MS,Public
Leland Middle,Brunswick County Schools,Leland,North Carolina,NC,Public
Leland P Brown Elementary,Olympia School District,OLYMPIA,Washington,WA,Public
Leland Public School,Leland Public School District,LELAND,Michigan,MI,Public
LELAND SCHOOL PARK,LELAND SCHOOL DIST,LELAND,Mississippi,MS,Public
Leland Street Elementary,Los Angeles Unified,San Pedro,California,CA,Public
LELAND VOC COMPLEX,LELAND SCHOOL DIST,LELAND,Mississippi,MS,Public
LELY ELEMENTARY SCHOOL,COLLIER,NAPLES,Florida,FL,Public
LELY HIGH SCHOOL,COLLIER,NAPLES,Florida,FL,Public
Leman Academy of Excellence,Leman Academy of Excellence  Inc.,Tucson,Arizona,AZ,Public
Leman Academy of Excellence  Sierra Vista,Edkey  Inc. - Pathfinder Academy,Sierra Vista,Arizona,AZ,Public
Leman Academy of Excellence-Oro Valley Arizona,Leman Academy of Excellence  Inc.,Oro Valley,Arizona,AZ,Public
Leman Academy of Excellence-Sierra Vista,Leman Academy of Excellence  Inc.,Sierra Vista,Arizona,AZ,Public
Leman Middle School,West Chicago ESD 33,West Chicago,Illinois,IL,Public
Leman Virtual Academy,Leman Academy of Excellence  Inc.,Tucson,Arizona,AZ,Public
LEMASTERS ELEM.,RIVERVIEW GARDENS,ST LOUIS,Missouri,MO,Public
LEMAY ELEMENTARY SCHOOL,BELLEVUE PUBLIC SCHOOLS,BELLEVUE,Nebraska,NE,Public
Lemay Street Elementary,Los Angeles Unified,Lake Balboa,California,CA,Public
Lemira Elementary,Sumter 01,Sumter,South Carolina,SC,Public
LEMM EL,KLEIN ISD,SPRING,Texas,TX,Public
Lemmer Elementary School,Escanaba Area Public Schools,ESCANABA,Michigan,MI,Public
Lemmon Elementary - 02,Lemmon School District 52-4,Lemmon,South Dakota,SD,Public
Lemmon High School - 01,Lemmon School District 52-4,Lemmon,South Dakota,SD,Public
Lemmon Jr. High - 06,Lemmon School District 52-4,Lemmon,South Dakota,SD,Public
Lemmon Valley Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Reno,Nevada,NV,Public
Lemon Avenue Elementary,La Mesa-Spring Valley,La Mesa,California,CA,Public
LEMON BAY HIGH SCHOOL,CHARLOTTE,ENGLEWOOD,Florida,FL,Public
Lemon Crest Elementary,Lakeside Union Elementary,Lakeside,California,CA,Public
Lemon Grove Academy for the Sciences and Humanities,Lemon Grove,Lemon Grove,California,CA,Public
Lemon Road Elementary,FAIRFAX CO PBLC SCHS,Falls Church,Virginia,VA,Public
Lemons Mill Elementary School,Scott County,Georgetown,Kentucky,KY,Public
Lemont Twp High School,Lemont Twp HSD 210,Lemont,Illinois,IL,Public
Lemonweir Elementary,Tomah Area School District,Tomah,Wisconsin,WI,Public
Lemonwood Elementary,Oxnard,Oxnard,California,CA,Public
Lemoore Elementary,Lemoore Union Elementary,Lemoore,California,CA,Public
Lemoore High,Lemoore Union High,Lemoore,California,CA,Public
Lemoore Middle College High,Lemoore Union High,Lemoore,California,CA,Public
Lemoore Online College Preparatory High,Lemoore Union High,Lemoore,California,CA,Public
Lemoore University Elementary Charter,Lemoore Union Elementary,Lemoore,California,CA,Public
LEMOYNE ELEMENTARY SCHOOL,SYRACUSE CITY SCHOOL DISTRICT,SYRACUSE,New York,NY,Public
Lempster Community School,Lempster School District,Lempster,New Hampshire,NH,Public
Len Lastinger Primary School,Tift County,Tifton,Georgia,GA,Public
LENA ARCHULETA ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,DENVER,Colorado,CO,Public
Lena Dunn Elementary School,Washington Community Schools,Washington,Indiana,IN,Public
Lena Elem School,Lena Winslow CUSD 202,Lena,Illinois,IL,Public
Lena Elementary,Lena School District,Lena,Wisconsin,WI,Public
Lena High,Lena School District,Lena,Wisconsin,WI,Public
Lena Juniper Elementary School,WASHOE COUNTY SCHOOL DISTRICT,Sparks,Nevada,NV,Public
LENA M. FRANCESCH (RUBIAS KM. 25),PUERTO RICO DEPARTMENT OF EDUCATION,YAUCO,Puerto Rico,PR,Public
Lena Mae Moses Middle School,Paulding County,Dallas,Georgia,GA,Public
Lena Middle,Lena School District,Lena,Wisconsin,WI,Public
LENA VISTA ELEMENTARY SCHOOL,POLK,AUBURNDALE,Florida,FL,Public
LENA WHITMORE ELEMENTARY SCHOOL,MOSCOW DISTRICT,MOSCOW,Idaho,ID,Public
Lena-Winslow High School,Lena Winslow CUSD 202,Lena,Illinois,IL,Public
Lena-Winslow Jr High School,Lena Winslow CUSD 202,Lena,Illinois,IL,Public
Lenape El Sch,Armstrong SD,Ford City,Pennsylvania,PA,Public
LENAPE ELEMENTARY SCHOOL,NEW PALTZ CENTRAL SCHOOL DISTRICT,NEW PALTZ,New York,NY,Public
Lenape High School,Lenape Regional High School District,MEDFORD,New Jersey,NJ,Public
Lenape Meadows,Mahwah Township Public School District,MAHWAH,New Jersey,NJ,Public
Lenape MS,Central Bucks SD,Doylestown,Pennsylvania,PA,Public
Lenape Tech,Lenape Tech,Ford City,Pennsylvania,PA,Public
Lenape Valley Regional High School,Lenape Valley Regional High School District,STANHOPE,New Jersey,NJ,Public
Lenart Elem Regional Gifted Ctr,City of Chicago SD 299,Chicago,Illinois,IL,Public
Lenawee Christian School,Lenawee,Adrian,Michigan,MI,Private
Lenawee Christian School,Lenawee,Adrian,Michigan,MI,Private