Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.1,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its lef",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.3,"Read, write, and compare decimals to thousandths",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.3a,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 × 100 + 4 × 10 + 7 × 1 + 3 × (1/10) + 9 × (1/100) + 2 × (1/1000",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.3b,"Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.4,Use place value understanding to round decimals to any place,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.5,Fluently multiply multi-digit whole numbers using the standard algorithm,
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.6,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",
College and Career Readiness Standards for Math,Math,C,Number and Operations: Base Ten,5.NBT.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,6.NF.2,Fluently divide multi-digit numbers using the standard algorithm.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,6.NF.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,6.NF.4,"Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor. For example, express 36 + 8 as 4 (9 + 2).",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.1,"Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.2,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3,Understand a fraction a/b with a > 1 as a sum of fractions 1/b.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3a,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3b,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. Examples: 3/8 = 1/8 + 1/8 + 1/8; 3/8 = 1/8 + 2/8; 2 1/8 = 1 + 1 + 1/8 = 8/8 + 8/8 + 1/8.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3c,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.3d,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4a,"Understand a fraction a/b as a multiple of 1/b. For example, use a visual fraction model to represent 5/4 as the product 5 × (1/4), recording the conclusion by the equation 5/4 = 5 × (1/4)",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4b,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. For example, use a visual fraction model to express 3 × (2/5) as 6 × (1/5), recognizing this product as 6/5. (In general, n × (a/b) = (n × a)/b.)",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.4c,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.6,"Use decimal notation for fractions with denominators 10 or 100. For example, rewrite 0.62 as 62/100; describe a length as 0.62 meters; locate 0.62 on a number line diagram",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,4.NF.7,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.1,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.2,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers. For example, recognize an incorrect result 2/5 + 1/2 = 3/7, by observing that 3/7 < 1/2.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.3,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.4,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.5,"Interpret multiplication as scaling (resizing), by",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.5 a.,"Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.5 b.,Explaining why multiplying a given number by a fraction greater than 1 results in a product greater than the given number (recognizing multiplication by whole numbers greater than 1 as a familiar case); explaining why multiplying a given number by a fraction less than 1 results in a product smaller than the given number; and relating the principle of fraction equivalence a/b = (n × a)/(n × b) to the effect of multiplying a/b by 1.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.6,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the proble",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.7,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.7a,"Interpret division of a unit fraction by a non-zero whole number, and compute such quotients. For example, create a story context for (1/3) ÷ 4, and use a visual fraction model to show the quotient. Use the relationship between multiplication and division to explain that (1/3) ÷ 4 = 1/12 because (1/12) × 4 = 1/3",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.7b,"Interpret division of a whole number by a unit fraction, and compute such quotients. For example, create a story context for 4 ÷ (1/5), and use a visual fraction model to show the quotient. Use the relationship between multiplication and division to explain that 4 ÷ (1/5) = 20 because 20 × (1/5) = 4",
College and Career Readiness Standards for Math,Math,C,Numbers and Operations: Fractions,5.NF.7c,"Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem",
College and Career Readiness Standards for Math,Math,C,The Number System,6.NS.1,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. For example, create a story context for (2/3) ÷ (3/4) and use a visual fraction model to show the quotient; use the relationship between multiplication and division to explain that (2/3) ÷ (3/4) = 8/9 because 3/4 of 8/9 is 2/3. (In general, (a/b) ÷ (c/d) = ad/bc.) How much chocolate will each person get if 3 people share 1/2 lb of chocolate equally? How many 3/4-cup servings are in 2/3 of a cup of yogurt? How wide is a rectangular strip of land with length 3/4 mi and area 1/2 square mi?",
College and Career Readiness Standards for Math,Math,C,Ratios and Proportional Relationships,6.RP.1,"Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities. For example, “The ratio of wings to beaks in the bird house at the zoo was 2:1, because for every 2 wings there was 1 beak.” “For every vote candidate A received, candidate C received nearly three votes.",
College and Career Readiness Standards for Math,Math,C,Ratios and Proportional Relationships,6.RP.2,"the context of a ratio relationship. For example, “This recipe has a ratio of 3 cups of flour to 4 cups of sugar, so there is 3/4 cup of flour for each cup of sugar.” “We paid $75 for 15 hamburgers, which is a rate of $5 per hamburger.”2",
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,4.OA.1,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,4.OA.2,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.",
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,4.OA.3,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding",
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,4.OA.4,Find all factor pairs for a whole number in the range 1–100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1–100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1–100 is prime or composite,
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,4.OA.5,"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule “Add 3” and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way.",
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,5.OA.1,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",
College and Career Readiness Standards for Math,Math,C,Operations and Algebraic Thinking,5.OA.2,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them. For example, express the calculation “add 8 and 7, then multiply by 2” as 2 × (8 + 7). Recognize that 3 × (2100 + 425) is three times as large as the 2100 + 425, without having to calculate the indicated sum or product.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.1,Write and evaluate numerical expressions involving whole-number exponents.,
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.2,"Write, read, and evaluate expressions in which letters stand for numbers.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.2a,"Write expressions that record operations with numbers and with letters standing for numbers. For example, express the calculation “Subtract y from 5” as 5 – y.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.2b,"Identify parts of an expression using mathematical terms (sum, term, product, factor, quotient, coefficient); view one or more parts of an expression as a single entity. For example, describe the expression 2 (8 + 7) as a product of two factors; view (8 + 7) as both a single entity and a sum of two terms",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.2c,"Evaluate expressions at specific values of their variables. Include expressions that arise from formulas used in real-world problems. Perform arithmetic operations, including those involving whole-number exponents, in the conventional order when there are no parentheses to specify a particular order (Order of Operations). For example, use the formulas V = s3 and A = 6 s2 to find the volume and surface area of a cube with sides of length s = 1/2.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.3,"Apply the properties of operations to generate equivalent expressions. For example, apply the distributive property to the expression 3 (2 + x) to produce the equivalent expression 6 + 3x; apply the distributive property to the expression 24x + 18y to produce the equivalent expression 6 (4x + 3y); apply properties of operations to y + y + y to produce the equivalent expression 3y.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.4,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them). For example, the expressions y + y + y and 3y are equivalent because they name the same number regardless of which number y stands for",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.5,"Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.6,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.7,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.8,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams,
College and Career Readiness Standards for Math,Math,C,Expressions and Equations,6.EE.9,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time",
College and Career Readiness Standards for Math,Math,C,Geometry,4.G.1,parallel lines. Identify these in two-dimensional figures,
College and Career Readiness Standards for Math,Math,C,Geometry,5.G.1,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",
College and Career Readiness Standards for Math,Math,C,Geometry,5.G.2,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",
College and Career Readiness Standards for Math,Math,C,Geometry,5.G.3,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles",
College and Career Readiness Standards for Math,Math,C,Geometry,6.G.1,"Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems.",
College and Career Readiness Standards for Math,Math,C,Geometry,6.G.3,Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.,
College and Career Readiness Standards for Math,Math,C,Geometry,6.G.4,"Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.2,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.3,"Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formula as a multiplication equation with an unknown factor",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.5,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.5 a.,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a “one-degree angle,” and can be used to measure angles.","An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a “one-degree angle,” and can be used to measure angles."
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.5 b.,An angle that turns through n one-degree angles is said to have an angle measure of n degrees,An angle that turns through n one-degree angles is said to have an angle measure of n degrees
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.6,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure,
College and Career Readiness Standards for Math,Math,C,Measurement and Data,4.MD.7,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.1,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.2,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.3,Recognize volume as an attribute of solid figures and understand concepts of volume measurement,
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.3 a.,"A cube with side length 1 unit, called a “unit cube,” is said to have “one cubic unit” of volume, and can be used to measure volume",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.3 b.,A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units,
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.4,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.5,Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.,
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.5a,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the base. Represent threefold wholenumber products as volumes, e.g., to represent the associative property of multiplication.",
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.5b,Apply the formulas V = l × w × h and V = b × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems.,
College and Career Readiness Standards for Math,Math,C,Measurement and Data,5.MD.5c,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems.",
College and Career Readiness Standards for Math,Math,C,Statistics and Probability,6.SP.1,"Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers. For example, “How old am I?” is not a statistical question, but “How old are the students in my school?” is a statistical question because one anticipates variability in students’ ages",
College and Career Readiness Standards for Math,Math,C,Statistics and Probability,6.SP.2,"Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape.",
College and Career Readiness Standards for Math,Math,C,Statistics and Probability,6.SP.3,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.",
College and Career Readiness Standards for Math,Math,C,Statistics and Probability,6.SP.4,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.5,"Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.6,Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates,
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.6a,"Recognize opposite signs of numbers as indicating locations on opposite sides of 0 on the number line; recognize that the opposite of the opposite of a number is the number itself, e.g., –(–3) = 3, and that 0 is its own opposite",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.6b,"Understand signs of numbers in ordered pairs as indicating locations in quadrants of the coordinate plane; recognize that when two ordered pairs differ only by signs, the locations of the points are related by reflections across one or both axes.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.6c,Find and position integers and other rational numbers on a horizontal or vertical number line diagram; find and position pairs of integers and other rational numbers on a coordinate plane,
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.7,Understand ordering and absolute value of rational numbers,
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.7a,"Interpret statements of inequality as statements about the relative position of two numbers on a number line diagram. For example, interpret –3 > –7 as a statement that –3 is located to the right of –7 on a number line oriented from left to right.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.7b,"Write, interpret, and explain statements of order for rational numbers in real-world contexts. For example, write –3º C > –7º C to express the fact that –3º C is warmer than –7º C.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.7c,"Understand the absolute value of a rational number as its distance from 0 on the number line; interpret absolute value as magnitude for a positive or negative quantity in a real-world situation. For example, for an account balance of –30 dollars, write |–30| = 30 to describe the size of the debt in dollars.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.7d,"Distinguish comparisons of absolute value from statements about order. For example, recognize that an account balance less than –30 dollars represents a debt greater than 30 dollars.",
College and Career Readiness Standards for Math,Math,D,The Number System,6.NS.8,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.1,Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.1a,"Describe situations in which opposite quantities combine to make 0. For example, if a check is written for the same amount as a deposit, made to the same checking account, the result is a zero increase or decrease in the account balance.",
