Standard,Subject,Grade,Strand,Standard Number,Description,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.1b,"Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.1c,"Understand subtraction of rational numbers as adding the additive inverse, p – q = p + (–q). Show that the distance between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts",
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.1d,Apply properties of operations as strategies to add and subtract rational numbers.,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.2,Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.2a,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (–1)(–1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.","Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (–1)(–1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts."
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.2b,"Understand that integers can be divided, provided that the divisor is not zero, and every  quotient of integers (with non-zero divisor) is a rational number. If p and q are integers, then –(p/q) = (–p)/q = p/(–q). Interpret quotients of rational numbers by describing real-world contexts",
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.2c,Apply properties of operations as strategies to multiply and divide rational numbers.,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.2d,Convert a rational number to a decimal using long division; know that the decimal form of a rational number terminates in 0s or eventually repeats.,
College and Career Readiness Standards for Math,Math,D,The Number System,7.NS.3,Solve real-world and mathematical problems involving the four operations with rational numbers,
College and Career Readiness Standards for Math,Math,D,The Number System,8.NS.2,"Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., π2). For example, by truncating the decimal expansion of √2, show that √2 is between 1 and 2, then between 1.4 and 1.5, and explain how to continue on to get better approximations.",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,6.RP.3,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,6.RP.3a,"Make tables of equivalent ratios relating quantities with whole-number measurements, find missing values in the tables, and plot the pairs of values on the coordinate plane. Use tables to compare ratios.",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,6.RP.3b,"Solve unit rate problems including those involving unit pricing and constant speed. For example, if it took 7 hours to mow 4 lawns, then at that rate, how many lawns could be mowed in 35 hours? At what rate were lawns being mowed?",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,6.RP.3c,"Find a percent of a quantity as a rate per 100 (e.g., 30% of a quantity means 30/100 times the quantity); solve problems involving finding the whole, given a part and the percent.",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,6.RP.3d,Use ratio reasoning to convert measurement units; manipulate and transform units appropriately when multiplying or dividing quantities,
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units. For example, if a person walks 1/2 mile in each 1/4 hour, compute the unit rate as the complex fraction 1/2/1/4 miles per hour, equivalently 2 miles per hour",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.2,Recognize and represent proportional relationships between quantities,
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.2a,"Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.2b,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.2c,"Represent proportional relationships by equations. For example, if total cost t is proportional to the number n of items purchased at a constant price p, the relationship between the total cost and the number of items can be expressed as t = pn",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.2d,"Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",
College and Career Readiness Standards for Math,Math,D,Ratios and Proportional Relationships,7.RP.3,"Use proportional relationships to solve multistep ratio and percent problems. Examples: simple interest, tax, markups and markdowns, gratuities and commissions, fees, percent increase and decrease, percent error.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,7.EE.1,"Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,7.EE.2,"Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related. For example, a + 0.05a = 1.05a means that “increase by 5%” is the same as “multiply by 1.05.”",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,7.EE.3,"Solve multi-step real-life and mathematical problems posed with positive and negative rational numbers in any form (whole numbers, fractions, and decimals), using tools strategically. Apply properties of operations to calculate with numbers in any form; convert between forms as appropriate; and assess the reasonableness of answers using mental computation and estimation strategies",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,7.EE.4,"Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,7.EE.4a,"Solve word problems leading to equations of the form px + q = r and p(x + q) = r, where p, q, and r are specific rational numbers. Solve equations of these forms fluently. Compare an algebraic solution to an arithmetic solution, identifying the sequence of the operations used in each approach",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,7.EE.4b,"Solve word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.1,"Know and apply the properties of integer exponents to generate equivalent numerical expressions. For example, 32 × 3 (–5) = 3(–3) = (1/3)3 = 1/27",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.2,"Use square root and cube root symbols to represent solutions to equations of the form x2 = p and x3 = p, where p is a positive rational number. Evaluate square roots of small perfect squares and cube roots of small perfect cubes. Know that √2 is irrational.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.3,"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other. For example, estimate the population of the United States as 3 × 108 and the population of the world as 7 × 109, and determine that the world population is more than 20 times larger",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.4,"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities (e.g., use millimeters per year for seafloor spreading). Interpret scientific notation that has been generated by technology",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.5,"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways. For example, compare a distance-time graph to a distance-time equation to determine which of two moving objects has greater speed.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.7,Solve linear equations in one variable,
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.7a,"Give examples of linear equations in one variable with one solution, infinitely many solutions, or no solutions. Show which of these possibilities is the case by successively transforming the given equation into simpler forms, until an equivalent equation of the form x = a, a = a, or a = b results (where a and b are different numbers)",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.7b,"Solve linear equations with rational number coefficients, including equations whose solutions require expanding expressions using the distributive property and collecting like terms.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.8,Analyze and solve pairs of simultaneous linear equations.,
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.8a,"Understand that solutions to a system of two linear equations in two variables correspond to points of intersection of their graphs, because points of intersection satisfy both equations simultaneously",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.8b,"Solve systems of two linear equations in two variables algebraically, and estimate solutions by graphing the equations. Solve simple cases by inspection. For example, 3x + 2y = 5 and 3x + 2y = 6 have no solution because 3x + 2y cannot simultaneously be 5 and 6.",
College and Career Readiness Standards for Math,Math,D,Expressions and Equations,8.EE.8c,"Solve real-world and mathematical problems leading to two linear equations in two variables. For example, given coordinates for two pairs of points, determine whether the line through the first pair of points intersects the line through the second pai",
College and Career Readiness Standards for Math,Math,D,Functions,8.F.1,Understand that a function is a rule that assigns to each input exactly one output. The graph of a function is the set of ordered pairs consisting of an input and the corresponding output,
College and Career Readiness Standards for Math,Math,D,Functions,8.F.3,"Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.",
College and Career Readiness Standards for Math,Math,D,Functions,8.F.4,"Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",
College and Career Readiness Standards for Math,Math,D,Functions,8.F.5,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally",
College and Career Readiness Standards for Math,Math,D,Geometry,7.G.1,"Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale.",
College and Career Readiness Standards for Math,Math,D,Geometry,7.G.4,Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle,
College and Career Readiness Standards for Math,Math,D,Geometry,7.G.5,"Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.",
College and Career Readiness Standards for Math,Math,D,Geometry,7.G.6,"Solve real-world and mathematical problems involving area, volume and surface area of two- and threedimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms.",
College and Career Readiness Standards for Math,Math,D,Geometry,8.G.2,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",
College and Career Readiness Standards for Math,Math,D,Geometry,8.G.4,"Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them",
College and Career Readiness Standards for Math,Math,D,Geometry,8.G.5,"Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",
College and Career Readiness Standards for Math,Math,D,Geometry,8.G.7,Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.,
College and Career Readiness Standards for Math,Math,D,Geometry,8.G.8,Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.,
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,6.SP.5,"Summarize numerical data sets in relation to their context, such as by",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,6.SP.5 a.,Reporting the number of observations.,
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,6.SP.5 b.,"Describing the nature of the attribute under investigation, including how it was measured and its units of measurement",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,6.SP.5 c.,"Giving quantitative measures of center (median and/or mean) and variability (interquartile range and/or mean absolute deviation), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context in which the data were gathered",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,6.SP.5 d.,Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered,Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.1,Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences,
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.2,Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions,
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.3,"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.4,Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.,
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.5,"Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.6,"Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.7,"Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.7a,"Develop a uniform probability model by assigning equal probability to all outcomes, and use the model to determine probabilities of events.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.7b,Develop a probability model (which may not be uniform) by observing frequencies in data generated from a chance process.,
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.8a,"Understand that, just as with simple events, the probability of a compound event is the fraction of outcomes in the sample space for which the compound event occurs.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,7.SP.8b,"Represent sample spaces for compound events using methods such as organized lists, tables and tree diagrams. For an event described in everyday language (e.g., “rolling double sixes”), identify the outcomes in the sample space which compose the event",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,8.SP.1,"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,8.SP.2,"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,8.SP.3,"Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept.",
College and Career Readiness Standards for Math,Math,D,Statistics and Probability,8.SP.4,Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables,
College and Career Readiness Standards for Math,Math,E,Number and Quantity: The Real Number System,N.RN.2,Rewrite expressions involving radicals and rational exponents using the properties of exponents.,
College and Career Readiness Standards for Math,Math,E,Number and Quantity: Quantities,N.Q.1,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays,
College and Career Readiness Standards for Math,Math,E,Number and Quantity: Quantities,N.Q.3,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.,
College and Career Readiness Standards for Math,Math,E,Algebra: Seeing Structure in Expressions,A.SSE.1,Interpret expressions that represent a quantity in terms of its context,
College and Career Readiness Standards for Math,Math,E,Algebra: Seeing Structure in Expressions,A.SSE.1a,"Interpret parts of an expression, such as terms, factors, and coefficients",
College and Career Readiness Standards for Math,Math,E,Algebra: Seeing Structure in Expressions,A.SSE.2,Use the structure of an expression to identify ways to rewrite it.,
College and Career Readiness Standards for Math,Math,E,Algebra: Seeing Structure in Expressions,A.SSE.3,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression,
College and Career Readiness Standards for Math,Math,E,Algebra: Seeing Structure in Expressions,A.SSE.3a,Factor a quadratic expression to reveal the zeros of the function it defines.,
College and Career Readiness Standards for Math,Math,E,Algebra: Arithmetic with Polynomials and Rational Expressions,A.APR.1,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials",
College and Career Readiness Standards for Math,Math,E,Algebra: Arithmetic with Polynomials and Rational Expressions,A.APR.6,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system.",
College and Career Readiness Standards for Math,Math,E,Algebra: Creating Equations,A.CED.1,Create equations and inequalities in one variable and use them to solve problems.,
College and Career Readiness Standards for Math,Math,E,Algebra: Creating Equations,A.CED.2,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales,
College and Career Readiness Standards for Math,Math,E,Algebra: Creating Equations,A.CED.3,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non- viable options in a modeling context",
College and Career Readiness Standards for Math,Math,E,Algebra: Creating Equations,A.CED.4,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange Ohm’s law V = IR to highlight resistance R",
College and Career Readiness Standards for Math,Math,E,Algebra: Reasoning with Equations and Inequalities,A.REI.1,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method.",
College and Career Readiness Standards for Math,Math,E,Algebra: Reasoning with Equations and Inequalities,A.REI.2,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise",
College and Career Readiness Standards for Math,Math,E,Algebra: Reasoning with Equations and Inequalities,A.REI.3,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters",
College and Career Readiness Standards for Math,Math,E,Algebra: Reasoning with Equations and Inequalities,A.REI.4,Solve quadratic equations in one variable,
College and Career Readiness Standards for Math,Math,E,Algebra: Reasoning with Equations and Inequalities,A.REI.6,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables.",
College and Career Readiness Standards for Math,Math,E,Algebra: Reasoning with Equations and Inequalities,A.REI.10,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line)",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.1,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x).",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.2,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context.",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.4,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.5,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.6,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph,
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.7,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.8b,"Use properties of exponents to interpret expressions for exponential functions. For example, identify percent rate of change in an exponential function and then classify it as representing exponential growth or decay.",
College and Career Readiness Standards for Math,Math,E,Functions: Interpreting Functions,F.IF.9,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",
College and Career Readiness Standards for Math,Math,E,Functions: Building Functions,F.BF.1,Write a function that describes a relationship between two quantities,
College and Career Readiness Standards for Math,Math,E,"Functions: Linear, Quadratic and Exponential Models",F.LE.1,Distinguish between situations that can be modeled with linear functions and with exponential functions,
College and Career Readiness Standards for Math,Math,E,"Functions: Linear, Quadratic and Exponential Models",F.LE.1b,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another,
College and Career Readiness Standards for Math,Math,E,"Functions: Linear, Quadratic and Exponential Models",F.LE.1c,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,
College and Career Readiness Standards for Math,Math,E,"Functions: Linear, Quadratic and Exponential Models",F.LE.5,Interpret the parameters in a linear or exponential function in terms of a context,
College and Career Readiness Standards for Math,Math,E,Geometry: Congruence,G.CO.1,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc",
College and Career Readiness Standards for Math,Math,E,"Geometry: Similiariry, Right Triangles and Triginometry",G.SRT.5,Use congruence and similarity criteria for triangles to solve problems and to prove relationships in geometric figures.,
College and Career Readiness Standards for Math,Math,E,Geometry: Geometric Measurement and Dimension,G.GMD.3,"Use volume formulas for cylinders, pyramids, cones, and spheres to solve problems",
College and Career Readiness Standards for Math,Math,E,Geometry: Modeling with Geometry,G.MG.2,"Apply concepts of density based on area and volume in modeling situations (e.g., persons per square mile, BTUs per cubic foot)",
College and Career Readiness Standards for Math,Math,E,Statistics and Probability: Interpreting Categorical and Quantitative Data,S.ID.1,"Represent data with plots on the real number line (dot plots, histograms, and box plots).",
College and Career Readiness Standards for Math,Math,E,Statistics and Probability: Interpreting Categorical and Quantitative Data,S.ID.3,"Interpret differences in shape, center, and spread in the context of the data sets, accounting for possible effects of extreme data points (outliers)",
College and Career Readiness Standards for Math,Math,E,Statistics and Probability: Interpreting Categorical and Quantitative Data,S.ID.5,"Summarize categorical data for two categories in two-way frequency tables. Interpret relative frequencies in the context of the data (including joint, marginal, and conditional relative frequencies). Recognize possible associations and trends in the data.",
College and Career Readiness Standards for Math,Math,E,Statistics and Probability: Interpreting Categorical and Quantitative Data,S.ID.7,Interpret the slope (rate of change) and the intercept (constant term) of a linear model in the context of the data.,
College and Career Readiness Standards for Math,Math,E,Statistics and Probability: Interpreting Categorical and Quantitative Data,S.ID.9,Distinguish between correlation and causation.,
